"","confCase","confCaseRate","createDt","criticalRate","death","deathRate","gubun","seq","updateDt"
"1",959,2.87,"2020-11-28 14:02:03.598",0,0,"0.00","0-9",5048,"null"
"2",1959,5.87,"2020-11-28 14:02:03.598",0,0,"0.00","10-19",5047,"null"
"3",6319,18.93,"2020-11-28 14:02:03.598",0,0,"0.00","20-29",5046,"null"
"4",4284,12.84,"2020-11-28 14:02:03.598",0.05,2,"0.38","30-39",5045,"null"
"5",4690,14.05,"2020-11-28 14:02:03.598",0.09,4,"0.77","40-49",5044,"null"
"6",6060,18.16,"2020-11-28 14:02:03.597",0.4,24,"4.60","50-59",5043,"null"
"7",5137,15.39,"2020-11-28 14:02:03.597",1.23,63,"12.07","60-69",5042,"null"
"8",2572,7.71,"2020-11-28 14:02:03.597",6.49,167,"31.99","70-79",5041,"null"
"9",1395,4.18,"2020-11-28 14:02:03.597",18.78,262,"50.19","80 이상",5040,"null"
"10",17441,52.26,"2020-11-28 14:02:03.597",1.43,249,"47.70","여성",5039,"null"
"11",15934,47.74,"2020-11-28 14:02:03.596",1.71,273,"52.30","남성",5038,"null"
"12",946,2.88,"2020-11-27 14:12:57.22",0,0,"0.00","0-9",5026,"null"
"13",1922,5.84,"2020-11-27 14:12:57.22",0,0,"0.00","10-19",5025,"null"
"14",6251,19.01,"2020-11-27 14:12:57.22",0,0,"0.00","20-29",5024,"null"
"15",4212,12.81,"2020-11-27 14:12:57.22",0.05,2,"0.39","30-39",5023,"null"
"16",4598,13.98,"2020-11-27 14:12:57.22",0.09,4,"0.78","40-49",5022,"null"
"17",5982,18.19,"2020-11-27 14:12:57.22",0.4,24,"4.65","50-59",5021,"null"
"18",5055,15.37,"2020-11-27 14:12:57.22",1.23,62,"12.02","60-69",5020,"null"
"19",2542,7.73,"2020-11-27 14:12:57.22",6.57,167,"32.36","70-79",5019,"null"
"20",1379,4.19,"2020-11-27 14:12:57.219",18.64,257,"49.81","80 이상",5018,"null"
"21",17199,52.3,"2020-11-27 14:12:57.219",1.42,245,"47.48","여성",5017,"null"
"22",15688,47.7,"2020-11-27 14:12:57.219",1.73,271,"52.52","남성",5016,"null"
"23",925,2.86,"2020-11-26 14:24:34.08",0,0,"0.00","0-9",5004,"null"
"24",1882,5.82,"2020-11-26 14:24:34.08",0,0,"0.00","10-19",5003,"null"
"25",6165,19.08,"2020-11-26 14:24:34.08",0,0,"0.00","20-29",5002,"null"
"26",4127,12.77,"2020-11-26 14:24:34.08",0.05,2,"0.39","30-39",5001,"null"
"27",4499,13.92,"2020-11-26 14:24:34.08",0.09,4,"0.78","40-49",5000,"null"
"28",5865,18.15,"2020-11-26 14:24:34.08",0.41,24,"4.66","50-59",4999,"null"
"29",4987,15.43,"2020-11-26 14:24:34.079",1.24,62,"12.04","60-69",4998,"null"
"30",2515,7.78,"2020-11-26 14:24:34.079",6.64,167,"32.43","70-79",4997,"null"
"31",1353,4.19,"2020-11-26 14:24:34.079",18.92,256,"49.71","80 이상",4996,"null"
"32",16942,52.42,"2020-11-26 14:24:34.079",1.44,244,"47.38","여성",4995,"null"
"33",15376,47.58,"2020-11-26 14:24:34.079",1.76,271,"52.62","남성",4994,"null"
"34",904,2.85,"2020-11-25 14:12:48.154",0,0,"0.00","0-9",4982,"null"
"35",1825,5.75,"2020-11-25 14:12:48.154",0,0,"0.00","10-19",4981,"null"
"36",6040,19.03,"2020-11-25 14:12:48.154",0,0,"0.00","20-29",4980,"null"
"37",4044,12.74,"2020-11-25 14:12:48.154",0.05,2,"0.39","30-39",4979,"null"
"38",4406,13.88,"2020-11-25 14:12:48.154",0.09,4,"0.78","40-49",4978,"null"
"39",5770,18.18,"2020-11-25 14:12:48.154",0.42,24,"4.68","50-59",4977,"null"
"40",4915,15.49,"2020-11-25 14:12:48.154",1.26,62,"12.09","60-69",4976,"null"
"41",2487,7.84,"2020-11-25 14:12:48.154",6.63,165,"32.16","70-79",4975,"null"
"42",1344,4.24,"2020-11-25 14:12:48.153",19.05,256,"49.90","80 이상",4974,"null"
"43",16656,52.48,"2020-11-25 14:12:48.153",1.46,244,"47.56","여성",4973,"null"
"44",15079,47.52,"2020-11-25 14:12:48.153",1.78,269,"52.44","남성",4972,"null"
"45",893,2.85,"2020-11-24 14:04:26.475",0,0,"0.00","0-9",4960,"null"
"46",1794,5.72,"2020-11-24 14:04:26.475",0,0,"0.00","10-19",4959,"null"
"47",5988,19.1,"2020-11-24 14:04:26.475",0,0,"0.00","20-29",4958,"null"
"48",3983,12.7,"2020-11-24 14:04:26.475",0.05,2,"0.39","30-39",4957,"null"
"49",4331,13.81,"2020-11-24 14:04:26.475",0.09,4,"0.78","40-49",4956,"null"
"50",5698,18.17,"2020-11-24 14:04:26.475",0.42,24,"4.71","50-59",4955,"null"
"51",4869,15.53,"2020-11-24 14:04:26.475",1.25,61,"11.96","60-69",4954,"null"
"52",2463,7.86,"2020-11-24 14:04:26.474",6.62,163,"31.96","70-79",4953,"null"
"53",1334,4.25,"2020-11-24 14:04:26.474",19.19,256,"50.20","80 이상",4952,"null"
"54",16480,52.56,"2020-11-24 14:04:26.474",1.47,242,"47.45","여성",4951,"null"
"55",14873,47.44,"2020-11-24 14:04:26.474",1.8,268,"52.55","남성",4950,"null"
"56",877,2.83,"2020-11-23 14:16:51.81",0,0,"0.00","0-9",4919,"null"
"57",1776,5.73,"2020-11-23 14:16:51.81",0,0,"0.00","10-19",4918,"null"
"58",5921,19.1,"2020-11-23 14:16:51.81",0,0,"0.00","20-29",4917,"null"
"59",3930,12.68,"2020-11-23 14:16:51.81",0.05,2,"0.39","30-39",4916,"null"
"60",4271,13.78,"2020-11-23 14:16:51.809",0.09,4,"0.79","40-49",4915,"null"
"61",5638,18.18,"2020-11-23 14:16:51.809",0.43,24,"4.72","50-59",4914,"null"
"62",4826,15.57,"2020-11-23 14:16:51.809",1.26,61,"11.98","60-69",4913,"null"
"63",2438,7.86,"2020-11-23 14:16:51.809",6.69,163,"32.02","70-79",4912,"null"
"64",1327,4.28,"2020-11-23 14:16:51.809",19.22,255,"50.10","80 이상",4911,"null"
"65",16321,52.64,"2020-11-23 14:16:51.809",1.48,242,"47.54","여성",4910,"null"
"66",14683,47.36,"2020-11-23 14:16:51.809",1.82,267,"52.46","남성",4909,"null"
"67",854,2.78,"2020-11-22 14:24:51.891",0,0,"0.00","0-9",4897,"null"
"68",1755,5.71,"2020-11-22 14:24:51.891",0,0,"0.00","10-19",4896,"null"
"69",5880,19.13,"2020-11-22 14:24:51.891",0,0,"0.00","20-29",4895,"null"
"70",3889,12.65,"2020-11-22 14:24:51.891",0.05,2,"0.40","30-39",4894,"null"
"71",4222,13.74,"2020-11-22 14:24:51.891",0.09,4,"0.79","40-49",4893,"null"
"72",5588,18.18,"2020-11-22 14:24:51.891",0.41,23,"4.55","50-59",4892,"null"
"73",4806,15.64,"2020-11-22 14:24:51.891",1.27,61,"12.08","60-69",4891,"null"
"74",2421,7.88,"2020-11-22 14:24:51.891",6.65,161,"31.88","70-79",4890,"null"
"75",1318,4.29,"2020-11-22 14:24:51.891",19.27,254,"50.30","80 이상",4889,"null"
"76",16178,52.64,"2020-11-22 14:24:51.89",1.48,240,"47.52","여성",4888,"null"
"77",14555,47.36,"2020-11-22 14:24:51.89",1.82,265,"52.48","남성",4887,"null"
"78",837,2.75,"2020-11-21 14:27:19.271",0,0,"0.00","0-9",4875,"null"
"79",1735,5.71,"2020-11-21 14:27:19.271",0,0,"0.00","10-19",4874,"null"
"80",5815,19.13,"2020-11-21 14:27:19.271",0,0,"0.00","20-29",4873,"null"
"81",3842,12.64,"2020-11-21 14:27:19.271",0.05,2,"0.40","30-39",4872,"null"
"82",4158,13.68,"2020-11-21 14:27:19.271",0.1,4,"0.80","40-49",4871,"null"
"83",5532,18.2,"2020-11-21 14:27:19.271",0.42,23,"4.57","50-59",4870,"null"
"84",4774,15.7,"2020-11-21 14:27:19.27",1.28,61,"12.13","60-69",4869,"null"
"85",2403,7.9,"2020-11-21 14:27:19.27",6.66,160,"31.81","70-79",4868,"null"
"86",1307,4.3,"2020-11-21 14:27:19.27",19.36,253,"50.30","80 이상",4867,"null"
"87",16021,52.7,"2020-11-21 14:27:19.27",1.49,239,"47.51","여성",4866,"null"
"88",14382,47.3,"2020-11-21 14:27:19.27",1.84,264,"52.49","남성",4865,"null"
"89",822,2.74,"2020-11-20 14:11:53.364",0,0,"0.00","0-9",4853,"null"
"90",1699,5.66,"2020-11-20 14:11:53.364",0,0,"0.00","10-19",4852,"null"
"91",5707,19.01,"2020-11-20 14:11:53.364",0,0,"0.00","20-29",4851,"null"
"92",3793,12.64,"2020-11-20 14:11:53.364",0.05,2,"0.40","30-39",4850,"null"
"93",4102,13.67,"2020-11-20 14:11:53.363",0.1,4,"0.80","40-49",4849,"null"
"94",5476,18.24,"2020-11-20 14:11:53.363",0.42,23,"4.59","50-59",4848,"null"
"95",4737,15.78,"2020-11-20 14:11:53.363",1.27,60,"11.98","60-69",4847,"null"
"96",2380,7.93,"2020-11-20 14:11:53.363",6.68,159,"31.74","70-79",4846,"null"
"97",1301,4.33,"2020-11-20 14:11:53.363",19.45,253,"50.50","80 이상",4845,"null"
"98",15845,52.79,"2020-11-20 14:11:53.363",1.5,238,"47.50","여성",4844,"null"
"99",14172,47.21,"2020-11-20 14:11:53.363",1.86,263,"52.50","남성",4843,"null"
"100",811,2.73,"2020-11-19 14:06:46.822",0,0,"0.00","0-9",4831,"null"
"101",1664,5.61,"2020-11-19 14:06:46.822",0,0,"0.00","10-19",4830,"null"
"102",5642,19.03,"2020-11-19 14:06:46.822",0,0,"0.00","20-29",4829,"null"
"103",3744,12.63,"2020-11-19 14:06:46.822",0.05,2,"0.40","30-39",4828,"null"
"104",4043,13.63,"2020-11-19 14:06:46.822",0.1,4,"0.80","40-49",4827,"null"
"105",5416,18.26,"2020-11-19 14:06:46.822",0.42,23,"4.62","50-59",4826,"null"
"106",4692,15.82,"2020-11-19 14:06:46.822",1.26,59,"11.85","60-69",4825,"null"
"107",2352,7.93,"2020-11-19 14:06:46.822",6.76,159,"31.93","70-79",4824,"null"
"108",1290,4.35,"2020-11-19 14:06:46.821",19.46,251,"50.40","80 이상",4823,"null"
"109",15673,52.85,"2020-11-19 14:06:46.821",1.51,236,"47.39","여성",4822,"null"
"110",13981,47.15,"2020-11-19 14:06:46.821",1.87,262,"52.61","남성",4821,"null"
"111",789,2.69,"2020-11-18 14:06:58.88",0,0,"0.00","0-9",4809,"null"
"112",1621,5.53,"2020-11-18 14:06:58.88",0,0,"0.00","10-19",4808,"null"
"113",5594,19.08,"2020-11-18 14:06:58.879",0,0,"0.00","20-29",4807,"null"
"114",3697,12.61,"2020-11-18 14:06:58.879",0.05,2,"0.40","30-39",4806,"null"
"115",3987,13.6,"2020-11-18 14:06:58.879",0.1,4,"0.81","40-49",4805,"null"
"116",5361,18.29,"2020-11-18 14:06:58.879",0.43,23,"4.64","50-59",4804,"null"
"117",4648,15.86,"2020-11-18 14:06:58.879",1.23,57,"11.49","60-69",4803,"null"
"118",2335,7.97,"2020-11-18 14:06:58.879",6.81,159,"32.06","70-79",4802,"null"
"119",1279,4.36,"2020-11-18 14:06:58.879",19.62,251,"50.60","80 이상",4801,"null"
"120",15511,52.92,"2020-11-18 14:06:58.879",1.52,235,"47.38","여성",4800,"null"
"121",13800,47.08,"2020-11-18 14:06:58.878",1.89,261,"52.62","남성",4799,"null"
"122",784,2.7,"2020-11-17 14:13:30.096",0,0,"0.00","0-9",4787,"null"
"123",1605,5.53,"2020-11-17 14:13:30.096",0,0,"0.00","10-19",4786,"null"
"124",5547,19.13,"2020-11-17 14:13:30.096",0,0,"0.00","20-29",4785,"null"
"125",3650,12.59,"2020-11-17 14:13:30.096",0.05,2,"0.40","30-39",4784,"null"
"126",3926,13.54,"2020-11-17 14:13:30.096",0.1,4,"0.81","40-49",4783,"null"
"127",5306,18.3,"2020-11-17 14:13:30.096",0.43,23,"4.66","50-59",4782,"null"
"128",4607,15.89,"2020-11-17 14:13:30.096",1.24,57,"11.54","60-69",4781,"null"
"129",2315,7.98,"2020-11-17 14:13:30.095",6.78,157,"31.78","70-79",4780,"null"
"130",1258,4.34,"2020-11-17 14:13:30.095",19.95,251,"50.81","80 이상",4779,"null"
"131",15382,53.05,"2020-11-17 14:13:30.095",1.52,234,"47.37","여성",4778,"null"
"132",13616,46.95,"2020-11-17 14:13:30.095",1.91,260,"52.63","남성",4777,"null"
"133",774,2.69,"2020-11-16 14:13:30.493",0,0,"0.00","0-9",4765,"null"
"134",1593,5.54,"2020-11-16 14:13:30.493",0,0,"0.00","10-19",4764,"null"
"135",5510,19.15,"2020-11-16 14:13:30.493",0,0,"0.00","20-29",4763,"null"
"136",3624,12.6,"2020-11-16 14:13:30.493",0.06,2,"0.40","30-39",4762,"null"
"137",3890,13.52,"2020-11-16 14:13:30.493",0.1,4,"0.81","40-49",4761,"null"
"138",5262,18.29,"2020-11-16 14:13:30.493",0.44,23,"4.66","50-59",4760,"null"
"139",4569,15.88,"2020-11-16 14:13:30.492",1.25,57,"11.54","60-69",4759,"null"
"140",2297,7.98,"2020-11-16 14:13:30.492",6.84,157,"31.78","70-79",4758,"null"
"141",1250,4.34,"2020-11-16 14:13:30.492",20.08,251,"50.81","80 이상",4757,"null"
"142",15270,53.08,"2020-11-16 14:13:30.492",1.53,234,"47.37","여성",4756,"null"
"143",13499,46.92,"2020-11-16 14:13:30.492",1.93,260,"52.63","남성",4755,"null"
"144",768,2.69,"2020-11-15 15:03:57.783",0,0,"0.00","0-9",4743,"null"
"145",1581,5.54,"2020-11-15 15:03:57.783",0,0,"0.00","10-19",4742,"null"
"146",5473,19.17,"2020-11-15 15:03:57.783",0,0,"0.00","20-29",4741,"null"
"147",3597,12.6,"2020-11-15 15:03:57.783",0.06,2,"0.41","30-39",4740,"null"
"148",3861,13.53,"2020-11-15 15:03:57.783",0.1,4,"0.81","40-49",4739,"null"
"149",5222,18.29,"2020-11-15 15:03:57.783",0.44,23,"4.67","50-59",4738,"null"
"150",4516,15.82,"2020-11-15 15:03:57.783",1.26,57,"11.56","60-69",4737,"null"
"151",2282,7.99,"2020-11-15 15:03:57.782",6.88,157,"31.85","70-79",4736,"null"
"152",1246,4.36,"2020-11-15 15:03:57.782",20.06,250,"50.71","80 이상",4735,"null"
"153",15165,53.12,"2020-11-15 15:03:57.782",1.54,233,"47.26","여성",4734,"null"
"154",13381,46.88,"2020-11-15 15:03:57.782",1.94,260,"52.74","남성",4733,"null"
"155",760,2.68,"2020-11-14 16:27:44.393",0,0,"0.00","0-9",4721,"null"
"156",1568,5.53,"2020-11-14 16:27:44.393",0,0,"0.00","10-19",4720,"null"
"157",5447,19.22,"2020-11-14 16:27:44.393",0,0,"0.00","20-29",4719,"null"
"158",3570,12.6,"2020-11-14 16:27:44.393",0.06,2,"0.41","30-39",4718,"null"
"159",3834,13.53,"2020-11-14 16:27:44.393",0.1,4,"0.81","40-49",4717,"null"
"160",5173,18.25,"2020-11-14 16:27:44.393",0.44,23,"4.67","50-59",4716,"null"
"161",4476,15.8,"2020-11-14 16:27:44.393",1.27,57,"11.59","60-69",4715,"null"
"162",2269,8.01,"2020-11-14 16:27:44.393",6.92,157,"31.91","70-79",4714,"null"
"163",1241,4.38,"2020-11-14 16:27:44.393",20.06,249,"50.61","80 이상",4713,"null"
"164",15057,53.13,"2020-11-14 16:27:44.392",1.54,232,"47.15","여성",4712,"null"
"165",13281,46.87,"2020-11-14 16:27:44.392",1.96,260,"52.85","남성",4711,"null"
"166",748,2.66,"2020-11-13 14:09:08.629",0,0,"0.00","0-9",4710,"null"
"167",1554,5.52,"2020-11-13 14:09:08.629",0,0,"0.00","10-19",4709,"null"
"168",5411,19.23,"2020-11-13 14:09:08.629",0,0,"0.00","20-29",4708,"null"
"169",3538,12.58,"2020-11-13 14:09:08.629",0.06,2,"0.41","30-39",4707,"null"
"170",3805,13.53,"2020-11-13 14:09:08.629",0.11,4,"0.82","40-49",4706,"null"
"171",5137,18.26,"2020-11-13 14:09:08.629",0.43,22,"4.51","50-59",4705,"null"
"172",4444,15.8,"2020-11-13 14:09:08.629",1.26,56,"11.48","60-69",4704,"null"
"173",2262,8.04,"2020-11-13 14:09:08.629",6.94,157,"32.17","70-79",4703,"null"
"174",1234,4.39,"2020-11-13 14:09:08.628",20.02,247,"50.61","80 이상",4702,"null"
"175",14957,53.17,"2020-11-13 14:09:08.628",1.54,231,"47.34","여성",4701,"null"
"176",13176,46.83,"2020-11-13 14:09:08.628",1.95,257,"52.66","남성",4700,"null"
"177",741,2.65,"2020-11-12 14:17:30.539",0,0,"0.00","0-9",4688,"null"
"178",1545,5.53,"2020-11-12 14:17:30.539",0,0,"0.00","10-19",4687,"null"
"179",5383,19.26,"2020-11-12 14:17:30.539",0,0,"0.00","20-29",4686,"null"
"180",3519,12.59,"2020-11-12 14:17:30.539",0.06,2,"0.41","30-39",4685,"null"
"181",3782,13.54,"2020-11-12 14:17:30.539",0.11,4,"0.82","40-49",4684,"null"
"182",5095,18.23,"2020-11-12 14:17:30.538",0.43,22,"4.52","50-59",4683,"null"
"183",4416,15.8,"2020-11-12 14:17:30.538",1.27,56,"11.50","60-69",4682,"null"
"184",2245,8.03,"2020-11-12 14:17:30.538",6.99,157,"32.24","70-79",4681,"null"
"185",1216,4.35,"2020-11-12 14:17:30.538",20.23,246,"50.51","80 이상",4680,"null"
"186",14857,53.17,"2020-11-12 14:17:30.538",1.55,230,"47.23","여성",4679,"null"
"187",13085,46.83,"2020-11-12 14:17:30.538",1.96,257,"52.77","남성",4678,"null"
"188",735,2.64,"2020-11-11 14:14:39.536",0,0,"0.00","0-9",4655,"null"
"189",1532,5.51,"2020-11-11 14:14:39.536",0,0,"0.00","10-19",4654,"null"
"190",5357,19.27,"2020-11-11 14:14:39.536",0,0,"0.00","20-29",4653,"null"
"191",3496,12.58,"2020-11-11 14:14:39.536",0.06,2,"0.41","30-39",4652,"null"
"192",3760,13.53,"2020-11-11 14:14:39.536",0.11,4,"0.82","40-49",4651,"null"
"193",5070,18.24,"2020-11-11 14:14:39.536",0.43,22,"4.52","50-59",4650,"null"
"194",4401,15.83,"2020-11-11 14:14:39.535",1.27,56,"11.50","60-69",4649,"null"
"195",2236,8.04,"2020-11-11 14:14:39.535",7.02,157,"32.24","70-79",4648,"null"
"196",1212,4.36,"2020-11-11 14:14:39.535",20.3,246,"50.51","80 이상",4647,"null"
"197",14791,53.21,"2020-11-11 14:14:39.535",1.55,230,"47.23","여성",4646,"null"
"198",13008,46.79,"2020-11-11 14:14:39.535",1.98,257,"52.77","남성",4645,"null"
"199",729,2.64,"2020-11-10 14:11:11.443",0,0,"0.00","0-9",4644,"null"
"200",1527,5.52,"2020-11-10 14:11:11.443",0,0,"0.00","10-19",4643,"null"
"201",5337,19.3,"2020-11-10 14:11:11.443",0,0,"0.00","20-29",4642,"null"
"202",3478,12.58,"2020-11-10 14:11:11.443",0.06,2,"0.41","30-39",4641,"null"
"203",3748,13.55,"2020-11-10 14:11:11.443",0.11,4,"0.82","40-49",4640,"null"
"204",5049,18.26,"2020-11-10 14:11:11.443",0.44,22,"4.54","50-59",4639,"null"
"205",4371,15.81,"2020-11-10 14:11:11.442",1.26,55,"11.34","60-69",4638,"null"
"206",2217,8.02,"2020-11-10 14:11:11.442",7.08,157,"32.37","70-79",4637,"null"
"207",1197,4.33,"2020-11-10 14:11:11.442",20.47,245,"50.52","80 이상",4636,"null"
"208",14713,53.21,"2020-11-10 14:11:11.442",1.56,230,"47.42","여성",4635,"null"
"209",12940,46.79,"2020-11-10 14:11:11.442",1.97,255,"52.58","남성",4634,"null"
"210",726,2.63,"2020-11-09 14:10:28.84",0,0,"0.00","0-9",4611,"null"
"211",1518,5.51,"2020-11-09 14:10:28.84",0,0,"0.00","10-19",4610,"null"
"212",5316,19.29,"2020-11-09 14:10:28.84",0,0,"0.00","20-29",4609,"null"
"213",3465,12.58,"2020-11-09 14:10:28.84",0.06,2,"0.42","30-39",4608,"null"
"214",3736,13.56,"2020-11-09 14:10:28.84",0.11,4,"0.83","40-49",4607,"null"
"215",5036,18.28,"2020-11-09 14:10:28.84",0.44,22,"4.58","50-59",4606,"null"
"216",4356,15.81,"2020-11-09 14:10:28.84",1.24,54,"11.25","60-69",4605,"null"
"217",2208,8.01,"2020-11-09 14:10:28.84",7.07,156,"32.50","70-79",4604,"null"
"218",1192,4.33,"2020-11-09 14:10:28.84",20.3,242,"50.42","80 이상",4603,"null"
"219",14669,53.24,"2020-11-09 14:10:28.839",1.55,228,"47.50","여성",4602,"null"
"220",12884,46.76,"2020-11-09 14:10:28.839",1.96,252,"52.50","남성",4601,"null"
"221",723,2.64,"2020-11-08 14:16:54.951",0,0,"0.00","0-9",4567,"null"
"222",1512,5.51,"2020-11-08 14:16:54.95",0,0,"0.00","10-19",4566,"null"
"223",5301,19.33,"2020-11-08 14:16:54.95",0,0,"0.00","20-29",4565,"null"
"224",3440,12.54,"2020-11-08 14:16:54.95",0.06,2,"0.42","30-39",4564,"null"
"225",3717,13.55,"2020-11-08 14:16:54.95",0.11,4,"0.84","40-49",4563,"null"
"226",5017,18.29,"2020-11-08 14:16:54.95",0.44,22,"4.60","50-59",4562,"null"
"227",4341,15.83,"2020-11-08 14:16:54.95",1.24,54,"11.30","60-69",4561,"null"
"228",2193,8,"2020-11-08 14:16:54.95",7.07,155,"32.43","70-79",4560,"null"
"229",1183,4.31,"2020-11-08 14:16:54.95",20.37,241,"50.42","80 이상",4559,"null"
"230",14600,53.23,"2020-11-08 14:16:54.949",1.55,226,"47.28","여성",4558,"null"
"231",12827,46.77,"2020-11-08 14:16:54.949",1.96,252,"52.72","남성",4557,"null"
"232",720,2.64,"2020-11-07 15:06:00.35",0,0,"0.00","0-9",4545,"null"
"233",1508,5.53,"2020-11-07 15:06:00.35",0,0,"0.00","10-19",4544,"null"
"234",5292,19.4,"2020-11-07 15:06:00.35",0,0,"0.00","20-29",4543,"null"
"235",3414,12.51,"2020-11-07 15:06:00.35",0.06,2,"0.42","30-39",4542,"null"
"236",3695,13.54,"2020-11-07 15:06:00.35",0.11,4,"0.84","40-49",4541,"null"
"237",4995,18.31,"2020-11-07 15:06:00.35",0.44,22,"4.61","50-59",4540,"null"
"238",4317,15.82,"2020-11-07 15:06:00.35",1.25,54,"11.32","60-69",4539,"null"
"239",2169,7.95,"2020-11-07 15:06:00.35",7.15,155,"32.49","70-79",4538,"null"
"240",1174,4.3,"2020-11-07 15:06:00.349",20.44,240,"50.31","80 이상",4537,"null"
"241",14533,53.27,"2020-11-07 15:06:00.349",1.56,226,"47.38","여성",4536,"null"
"242",12751,46.73,"2020-11-07 15:06:00.349",1.97,251,"52.62","남성",4535,"null"
"243",719,2.64,"2020-11-06 14:12:18.208",0,0,"0.00","0-9",4523,"null"
"244",1503,5.53,"2020-11-06 14:12:18.208",0,0,"0.00","10-19",4522,"null"
"245",5282,19.42,"2020-11-06 14:12:18.208",0,0,"0.00","20-29",4521,"null"
"246",3399,12.5,"2020-11-06 14:12:18.208",0.06,2,"0.42","30-39",4520,"null"
"247",3674,13.51,"2020-11-06 14:12:18.208",0.11,4,"0.84","40-49",4519,"null"
"248",4986,18.33,"2020-11-06 14:12:18.208",0.44,22,"4.62","50-59",4518,"null"
"249",4304,15.83,"2020-11-06 14:12:18.208",1.25,54,"11.34","60-69",4517,"null"
"250",2158,7.94,"2020-11-06 14:12:18.208",7.18,155,"32.56","70-79",4516,"null"
"251",1170,4.3,"2020-11-06 14:12:18.207",20.43,239,"50.21","80 이상",4515,"null"
"252",14494,53.3,"2020-11-06 14:12:18.207",1.55,225,"47.27","여성",4514,"null"
"253",12701,46.7,"2020-11-06 14:12:18.207",1.98,251,"52.73","남성",4513,"null"
"254",719,2.64,"2020-11-06 13:58:22.921",0,0,"0.00","0-9",4501,"null"
"255",1503,5.53,"2020-11-06 13:58:22.921",0,0,"0.00","10-19",4500,"null"
"256",5282,19.42,"2020-11-06 13:58:22.921",0,0,"0.00","20-29",4499,"null"
"257",3399,12.5,"2020-11-06 13:58:22.921",0.06,2,"0.42","30-39",4498,"null"
"258",3674,13.51,"2020-11-06 13:58:22.921",0.11,4,"0.84","40-49",4497,"null"
"259",4986,18.33,"2020-11-06 13:58:22.92",0.44,22,"4.62","50-59",4496,"null"
"260",4304,15.83,"2020-11-06 13:58:22.92",1.25,54,"11.34","60-69",4495,"null"
"261",2158,7.94,"2020-11-06 13:58:22.92",7.18,155,"32.56","70-79",4494,"null"
"262",1170,4.3,"2020-11-06 13:58:22.92",20.43,239,"50.21","80 이상",4493,"null"
"263",14494,53.3,"2020-11-06 13:58:22.92",1.55,225,"47.27","여성",4492,"null"
"264",12701,46.7,"2020-11-06 13:58:22.92",1.98,251,"52.73","남성",4491,"null"
"265",710,2.62,"2020-11-05 14:16:11.671",0,0,"0.00","0-9",4479,"null"
"266",1496,5.53,"2020-11-05 14:16:11.671",0,0,"0.00","10-19",4478,"null"
"267",5258,19.44,"2020-11-05 14:16:11.671",0,0,"0.00","20-29",4477,"null"
"268",3375,12.48,"2020-11-05 14:16:11.671",0.06,2,"0.42","30-39",4476,"null"
"269",3648,13.49,"2020-11-05 14:16:11.671",0.11,4,"0.84","40-49",4475,"null"
"270",4958,18.33,"2020-11-05 14:16:11.671",0.44,22,"4.63","50-59",4474,"null"
"271",4291,15.86,"2020-11-05 14:16:11.671",1.26,54,"11.37","60-69",4473,"null"
"272",2149,7.94,"2020-11-05 14:16:11.671",7.17,154,"32.42","70-79",4472,"null"
"273",1165,4.31,"2020-11-05 14:16:11.67",20.52,239,"50.32","80 이상",4471,"null"
"274",14423,53.32,"2020-11-05 14:16:11.67",1.56,225,"47.37","여성",4470,"null"
"275",12627,46.68,"2020-11-05 14:16:11.67",1.98,250,"52.63","남성",4469,"null"
"276",709,2.63,"2020-11-04 14:11:34.468",0,0,"0.00","0-9",4446,"null"
"277",1488,5.53,"2020-11-04 14:11:34.468",0,0,"0.00","10-19",4445,"null"
"278",5237,19.45,"2020-11-04 14:11:34.468",0,0,"0.00","20-29",4444,"null"
"279",3355,12.46,"2020-11-04 14:11:34.468",0.06,2,"0.42","30-39",4443,"null"
"280",3625,13.46,"2020-11-04 14:11:34.468",0.11,4,"0.84","40-49",4442,"null"
"281",4929,18.31,"2020-11-04 14:11:34.468",0.45,22,"4.64","50-59",4441,"null"
"282",4276,15.88,"2020-11-04 14:11:34.468",1.26,54,"11.39","60-69",4440,"null"
"283",2143,7.96,"2020-11-04 14:11:34.468",7.19,154,"32.49","70-79",4439,"null"
"284",1163,4.32,"2020-11-04 14:11:34.468",20.46,238,"50.21","80 이상",4438,"null"
"285",14361,53.34,"2020-11-04 14:11:34.467",1.57,225,"47.47","여성",4437,"null"
"286",12564,46.66,"2020-11-04 14:11:34.467",1.98,249,"52.53","남성",4436,"null"
"287",707,2.64,"2020-11-03 14:14:40.995",0,0,"0.00","0-9",4424,"null"
"288",1485,5.54,"2020-11-03 14:14:40.995",0,0,"0.00","10-19",4423,"null"
"289",5218,19.47,"2020-11-03 14:14:40.995",0,0,"0.00","20-29",4422,"null"
"290",3330,12.42,"2020-11-03 14:14:40.994",0.06,2,"0.42","30-39",4421,"null"
"291",3614,13.48,"2020-11-03 14:14:40.994",0.11,4,"0.85","40-49",4420,"null"
"292",4909,18.31,"2020-11-03 14:14:40.994",0.45,22,"4.66","50-59",4419,"null"
"293",4253,15.87,"2020-11-03 14:14:40.994",1.27,54,"11.44","60-69",4418,"null"
"294",2133,7.96,"2020-11-03 14:14:40.994",7.17,153,"32.42","70-79",4417,"null"
"295",1158,4.32,"2020-11-03 14:14:40.994",20.47,237,"50.21","80 이상",4416,"null"
